iter	Accuracy	MultiClass
130	0.3052638889	2.117953993
131	0.305825	2.116681076
132	0.3065083333	2.115234375
133	0.3073222222	2.113848438
134	0.3079416667	2.112437326
135	0.3085833333	2.111161111
136	0.3093694444	2.109891493
137	0.3102555556	2.108557986
138	0.3109583333	2.106944444
139	0.3115694444	2.105579688
140	0.312	2.104351736
141	0.3124138889	2.103202778
142	0.3128805556	2.101900694
143	0.3137638889	2.100434028
144	0.3142777778	2.099123958
145	0.3146277778	2.098097222
146	0.3153583333	2.096806597
147	0.3161138889	2.09549566
148	0.3166472222	2.094333681
149	0.3176472222	2.092930556
150	0.3181111111	2.091831771
151	0.3188222222	2.090515972
152	0.3196888889	2.089289931
153	0.3204611111	2.087968403
154	0.321275	2.086505729
155	0.3219944444	2.085354688
156	0.3224694444	2.084106597
157	0.3229972222	2.082881771
158	0.3233055556	2.081832639
159	0.3236916667	2.080931771
160	0.3243388889	2.079844097
161	0.3247638889	2.078702431
162	0.3253527778	2.077436458
163	0.3260638889	2.076225521
164	0.3265694444	2.07492934
165	0.3272333333	2.073885243
166	0.3275472222	2.072649826
167	0.3283611111	2.071484375
168	0.3289888889	2.070418056
169	0.3297222222	2.069228472
170	0.3301166667	2.068172049
171	0.3305611111	2.067065278
172	0.3309444444	2.06611684
173	0.3316444444	2.064944097
174	0.3319722222	2.063949306
175	0.3325472222	2.062753819
176	0.3332222222	2.061601042
177	0.3339027778	2.060466146
178	0.3344833333	2.059186979
179	0.334975	2.058061285
180	0.3354777778	2.056985243
181	0.3362194444	2.055781076
182	0.3367138889	2.054829167
183	0.3371111111	2.054048785
184	0.337575	2.053122917
185	0.3379916667	2.052121354
186	0.3384527778	2.051244271
187	0.3390555556	2.050334028
188	0.3396305556	2.049206771
189	0.3403555556	2.04824809
190	0.3408388889	2.047282813
191	0.3414777778	2.046261285
192	0.3416861111	2.045184028
193	0.3421944444	2.043995312
194	0.343025	2.042862674
195	0.3439666667	2.041697049
196	0.3445666667	2.040561806
197	0.345	2.039550347
198	0.3455305556	2.038519965
199	0.3462333333	2.037396528
200	0.346525	2.036539931
201	0.34695	2.035590278
202	0.3473916667	2.034439583
203	0.3477583333	2.033576389
204	0.3485277778	2.032413021
205	0.3493972222	2.031308854
206	0.3499472222	2.030230035
207	0.3505805556	2.028982812
208	0.3510083333	2.027921528
209	0.3516888889	2.026920486
210	0.3522277778	2.025790799
211	0.3525694444	2.024577257
212	0.3532305556	2.023643403
213	0.3537916667	2.022584549
214	0.3543722222	2.021475868
215	0.3546555556	2.020642882
216	0.3555277778	2.01958559
217	0.3558916667	2.018519965
218	0.3564694444	2.017474306
219	0.3571555556	2.016364931
220	0.3577916667	2.015244444
221	0.3584555556	2.014287674
222	0.3588861111	2.013188889
223	0.3594444444	2.012389236
224	0.3596416667	2.01159566
225	0.3601	2.010689063
226	0.3607333333	2.009600174
227	0.3611888889	2.008793924
228	0.3618472222	2.007692882
229	0.3624083333	2.006696875
230	0.3632388889	2.005524826
231	0.3636305556	2.00448559
232	0.3642111111	2.003434028
233	0.3647388889	2.002425
234	0.3647555556	2.001650694
235	0.3650944444	2.000633681
236	0.3657444444	1.999856076
237	0.3663277778	1.998751042
238	0.3666666667	1.997851042
239	0.3671083333	1.996940972
240	0.3677944444	1.995959375
241	0.368425	1.994995139
242	0.3693472222	1.993978125
243	0.3697416667	1.992963889
244	0.3701027778	1.992169444
245	0.3704638889	1.991268403
246	0.3710083333	1.990390799
247	0.3716472222	1.989475347
248	0.3722916667	1.988621528
249	0.3726583333	1.98770625
250	0.3731861111	1.986893229
251	0.3736555556	1.985880556
252	0.3741027778	1.984991667
253	0.374725	1.984051215
254	0.3752333333	1.983002951
255	0.3759888889	1.982009896
256	0.3765194444	1.981123611
257	0.3770166667	1.980165799
258	0.3776638889	1.979388889
259	0.37825	1.978490451
260	0.3786416667	1.977397743
261	0.37895	1.976611806
262	0.3795388889	1.975737847
263	0.3799527778	1.974884896
264	0.380475	1.974052083
265	0.3811138889	1.973117535
266	0.3816138889	1.972161458
267	0.3822416667	1.971197222
268	0.3826944444	1.970216319
269	0.3830805556	1.969350521
270	0.3835388889	1.968446354
271	0.3841055556	1.967496875
272	0.3848138889	1.966472396
273	0.3854055556	1.965430729
274	0.3855805556	1.964709028
275	0.3863638889	1.963648264
276	0.3865472222	1.962673958
277	0.3871805556	1.961732465
278	0.3877861111	1.960661979
279	0.3882777778	1.959723958
280	0.3887583333	1.958815104
281	0.3894138889	1.958020312
282	0.39015	1.957102778
283	0.3905638889	1.956157986
284	0.3908805556	1.955270486
285	0.39155	1.954353125
286	0.3921083333	1.953373611
287	0.3926944444	1.95264375
288	0.393075	1.951704167
289	0.3937527778	1.950764757
290	0.394125	1.949984375
291	0.3943527778	1.949089931
292	0.3947444444	1.948140972
293	0.3952916667	1.94727934
294	0.3958444444	1.946544271
295	0.3963916667	1.945702083
296	0.3968277778	1.945062326
297	0.3970055556	1.944396181
298	0.3975111111	1.943479861
299	0.3980777778	1.942702257
300	0.3984527778	1.941786285
301	0.3991527778	1.940986806
302	0.3996555556	1.940287674
303	0.4001388889	1.939370312
304	0.4006166667	1.938459028
305	0.4010083333	1.937711285
306	0.4015	1.936825694
307	0.4019055556	1.935943403
308	0.4021583333	1.935253646
309	0.4026361111	1.93441875
310	0.4032138889	1.933561979
311	0.4038583333	1.932697917
312	0.4044388889	1.931980208
313	0.4047833333	1.931082639
314	0.4050333333	1.930206771
315	0.4053583333	1.929429861
316	0.4059944444	1.928491146
317	0.4064166667	1.927594444
318	0.4069833333	1.926772396
319	0.4076888889	1.92587066
320	0.4080083333	1.925175868
321	0.4087388889	1.924300347
322	0.4091333333	1.923562674
323	0.4095694444	1.922704688
324	0.4100305556	1.921909028
325	0.4103861111	1.921170833
326	0.4111138889	1.920245833
327	0.4115805556	1.919393403
328	0.4118888889	1.918747222
329	0.4119916667	1.918208854
330	0.4123222222	1.917439583
331	0.4129166667	1.916638542
332	0.4132805556	1.915734896
333	0.4136194444	1.915028819
334	0.4140055556	1.914238194
335	0.414275	1.913397569
336	0.4148305556	1.912626563
337	0.4150583333	1.911860243
