iter	Passed	Remaining
399	73420	36710
400	73603	36526
401	73793	36346
402	73967	36157
403	74155	35976
404	74344	35795
405	74542	35619
406	74725	35435
407	74909	35251
408	75080	35062
409	75265	34879
410	75447	34694
411	75614	34503
412	75808	34324
413	76002	34146
414	76180	33960
415	76362	33775
416	76554	33596
417	76742	33414
418	76924	33229
419	77114	33049
420	77293	32863
421	77457	32671
422	77625	32481
423	77803	32295
424	77993	32115
425	78185	31934
426	78361	31748
427	78558	31570
428	78735	31383
429	78925	31202
430	79093	31013
431	79272	30828
432	79449	30642
433	79631	30458
434	79805	30271
435	79978	30083
436	80162	29900
437	80335	29712
438	80491	29519
439	80676	29336
440	80853	29151
441	81034	28967
442	81220	28784
443	81399	28599
444	81586	28417
445	81764	28232
446	81938	28046
447	82106	27857
448	82277	27670
449	82463	27487
450	82656	27307
451	82844	27126
452	83020	26940
453	83206	26757
454	83391	26575
455	83584	26394
456	83761	26209
457	83934	26023
458	84123	25841
459	84312	25660
460	84484	25473
461	84670	25291
462	84859	25109
463	85047	24927
464	85236	24746
465	85427	24565
466	85592	24376
467	85766	24190
468	85938	24004
469	86119	23820
470	86289	23633
471	86461	23447
472	86643	23263
473	86822	23079
474	87006	22896
475	87180	22710
476	87372	22529
477	87554	22346
478	87732	22162
479	87921	21980
480	88104	21797
481	88278	21611
482	88457	21427
483	88636	21243
484	88818	21059
485	89004	20877
486	89192	20695
487	89376	20512
488	89554	20328
489	89728	20143
490	89898	19957
491	90079	19773
492	90236	19584
493	90418	19401
494	90614	19221
495	90781	19034
496	90968	18852
497	91134	18666
498	91300	18479
499	91465	18293
500	91660	18112
501	91834	17927
502	92012	17744
503	92200	17562
504	92380	17378
505	92560	17194
506	92727	17009
507	92896	16823
508	93078	16640
509	93259	16457
510	93431	16272
511	93615	16090
512	93805	15908
513	93982	15724
514	94163	15541
515	94342	15358
516	94537	15177
517	94723	14994
518	94891	14809
519	95088	14629
520	95271	14446
521	95445	14261
522	95631	14079
523	95799	13894
524	95966	13709
525	96141	13525
526	96314	13341
527	96482	13156
528	96665	12973
529	96850	12791
530	97032	12608
531	97218	12426
532	97379	12240
533	97559	12057
534	97747	11875
535	97910	11690
536	98076	11506
537	98267	11324
538	98436	11140
539	98603	10955
540	98775	10772
541	98938	10587
542	99117	10404
543	99291	10221
544	99473	10038
545	99648	9855
546	99835	9673
547	100007	9489
548	100195	9307
549	100368	9124
550	100540	8940
551	100713	8757
552	100894	8575
553	101062	8391
554	101224	8207
555	101402	8024
556	101574	7841
557	101754	7658
558	101940	7476
559	102113	7293
560	102290	7111
561	102460	6927
562	102632	6744
563	102816	6562
564	102995	6380
565	103173	6197
566	103347	6014
567	103492	5830
568	103671	5648
569	103858	5466
570	104039	5283
571	104236	5102
572	104419	4920
573	104593	4737
574	104779	4555
575	104945	4372
576	105120	4190
577	105306	4008
578	105499	3826
579	105677	3644
580	105859	3461
581	106042	3279
582	106219	3097
583	106414	2915
584	106579	2732
585	106739	2550
586	106899	2367
587	107073	2185
588	107262	2003
589	107446	1821
590	107626	1638
591	107795	1456
592	107953	1274
593	108128	1092
594	108305	910
595	108477	728
596	108643	545
597	108830	363
598	109002	181
599	109184	0
